osm_id,osm_type,name,longitude,latitude,geom_type
"12171655",relations,Lamgong Gewog,89.3584890239999,27.4366088635722,POLYGON
"12193056",relations,Thang-Rong Gweog,91.3365979639333,27.2010657931077,POLYGON
"13695055",relations,Yetong Jarshingpogtor,91.3707663404058,27.2373746682324,POLYGON
"13476085",relations,Jiminang,89.5547727751483,27.4188507191427,POLYGON
"13403018",relations,Lomtshokha,90.1206647677854,27.3732209028083,POLYGON
"12097696",relations,Martshala Gewog,91.735764903232,26.9953661638327,POLYGON
"12100849",relations,Kanglung Gewog,91.5306722387302,27.2731837603894,POLYGON
"12188747",relations,Chhuzanggang Gewog,90.521170957927,26.8737938822458,POLYGON
"13426263",relations,Tongmizhangsa Gewog,91.5030071896823,27.4566170400017,POLYGON
"12192689",relations,Trong Gewog,90.6863304855017,27.1162659388634,POLYGON
"13577940",relations,Sangloong Senteng,89.2254864309776,26.9640431317764,POLYGON
"13548018",relations,Sidpa,90.0065327735699,27.0585916625752,POLYGON
"12165466",relations,Shang_Threlga_Wachey,89.9857830680918,28.0363455793271,POLYGON
"13686960",relations,Pelshoob,91.3547508904998,27.2913591498723,POLYGON
"12152924",relations,Tangsibi,90.8376363572362,27.4882671471133,POLYGON
"13613037",relations,Langthil,90.6083649771573,27.4114424835116,POLYGON
"13533652",relations,Sa-Tsangma,90.146790948226,26.9901874608175,POLYGON
"8317318",relations,དགེ་གླིང་ Geling Gewog,89.489589690917,27.0175433707808,POLYGON
"12100847",relations,Udzorong Gewog,91.4400170224942,27.2247470304499,POLYGON
"12188007",relations,Tashiding Gewog,89.9996225354067,26.9137043822229,POLYGON
"13608583",relations,Nyala Drangla,90.3828231621747,27.4784670887269,POLYGON
"13551485",relations,Gedu Miritsemo,89.5635204695933,26.9189844985059,POLYGON
"12117209",relations,Khandophoog_Minjiwoong,91.908025256276,27.0044885209233,POLYGON
"12117204",relations,Gonong_Zangthig,91.9495906476848,27.1715572631198,POLYGON
"13405819",relations,Dabchhaykha Matshigkha,89.8961379696103,27.4164645425448,POLYGON
"12097694",relations,Langchenphu Gewog,92.0238820774837,26.9166505376493,POLYGON
"12100846",relations,Khaling Gewog,91.5728336212622,27.1944187408927,POLYGON
"12188739",relations,Chhudzom Gewog,90.3446332290811,27.0541790444893,POLYGON
"12193870",relations,Chhoekhorling_Gazawong,91.3468630408371,26.8262079444648,POLYGON
"12101124",relations,Bidoong Gewog,91.6545080212865,27.3896353657927,POLYGON
"12183125",relations,Darkar Gewog,89.9535580188854,27.2383548983303,POLYGON
"12188748",relations,Umling Gewog,90.6132691433641,26.9019213619465,POLYGON
"12089057",relations,Tsaenkhar Gewog,91.2262949011539,27.4711109864411,POLYGON
"12098112",relations,Khar Gewog,91.3951416658522,26.9466280875712,POLYGON
"9521711",relations,Chirang District,90.5996124701075,26.660165732949,POLYGON
"13644980",relations,Ribati,90.930870708829,26.8858576809222,POLYGON
"13644978",relations,Panbang Sonamthang,90.9805298074428,26.8234104133406,POLYGON
"13482950",relations,Gyalta,89.6126271435445,27.1668777831826,POLYGON
"13543378",relations,Samtengang,89.8668661736438,26.9316678566272,POLYGON
"9663900",relations,Nakha-Tashigang,89.041405218441,27.1937699333639,POLYGON
"12188742",relations,Dekidling Gewog,90.3536864648025,26.9407800540985,POLYGON
