osm_id,osm_type,population,is_in,admin_level,boundary,name,place,longitude,latitude,geom_type
"10825020709",nodes,,,,,Fentena,hamlet,89.2571839,27.1027748,POINT
"10824458425",nodes,,,,,Regokha,hamlet,89.1511164,27.1438185,POINT
"4353311789",nodes,,,"4",,ཆུ་ཁ་རྫོང་ཁག་,state,89.3770528,26.943123,POINT
"10875209574",nodes,,,,,Kaukha,hamlet,89.1312191,27.1209464,POINT
"8936580171",nodes,,,,,,hamlet,89.1449883,27.1168326,POINT
"6524150816",nodes,,,,,Nakha,hamlet,89.0623569,27.165577,POINT
"6525180530",nodes,,,,,Nebji,hamlet,89.1086593,27.172272,POINT
"6525186009",nodes,,,,,Gerekha,hamlet,89.1144282,27.1643509,POINT
"6524154014",nodes,,,,,Tsanglingna,hamlet,89.1191969,27.1636728,POINT
"8936580173",nodes,,,,,,hamlet,89.0789519,27.1402123,POINT
"8936580172",nodes,,,,,,village,89.1185681,27.1292857,POINT
"6524150818",nodes,,,,,Nakhatchochen,isolated_dwelling,89.0684054,27.167409,POINT
"8936602105",nodes,,,,,Rangtse,village,89.1433118,27.0901558,POINT
"10824458443",nodes,,,,,Taktokha,hamlet,89.1473653,27.1412586,POINT
"6519005367",nodes,,,,,Shema,hamlet,89.0315426,27.1556262,POINT
"9351330053",nodes,,,,,,hamlet,88.9846215,27.0166567,POINT
"299411935",nodes,,,,,ཕུན་ཚོགས་གླིང་,town,89.3837363,26.8639605,POINT
"10635712743",nodes,,,,,Numlakhadrangra,village,89.1549057,26.8891004,POINT
"10635712760",nodes,,,,,Thumkedrangra,hamlet,89.1471702,26.9016971,POINT
"10635712770",nodes,,,,,Gurung Basti,quarter,89.1027474,26.900372,POINT
"10208814992",nodes,,,,,RNR staff quarter 2,quarter,91.3422647,26.8295249,POINT
"6400147757",nodes,,,,,Damchu,hamlet,89.5178969,27.2219531,POINT
"10881778092",nodes,,,,,Tsimakha,hamlet,89.5405471,27.0978869,POINT
"9240449703",nodes,,,,,Khasakha,hamlet,89.5780134,27.3811421,POINT
"9209864182",nodes,,,,,Tshaphug,hamlet,89.5923418,27.3794606,POINT
"9240635538",nodes,,,,,Gelephaka,hamlet,89.5801377,27.310335,POINT
"9209899699",nodes,,,,,Thujedrag,village,89.5590448,27.4921504,POINT
"11223643446",nodes,,,,,Thinleygang,village,89.8049417,27.525677,POINT
"11223643447",nodes,,,,,Lumitsawa,village,89.7911793,27.519157,POINT
"4353339390",nodes,,,"4",,དབང་འདུས་ཕོ་བྲང་རྫོང་ཁག་,state,89.955581,27.544634,POINT
"4552883192",nodes,,,,,吉绒 སྐྱིད་གྲོང་ཚལ,village,88.9364539,27.5203914,POINT
"9909911360",nodes,,,,,,village,88.9316428,27.6179332,POINT
"4552882682",nodes,,,,,珠居村 གྲོག་དཀྱིལ,village,88.9218117,27.4988296,POINT
"4325004581",nodes,,,,,Kamji,hamlet,89.455408,26.8881892,POINT
"4910761565",nodes,,,,,Balujora,village,89.453516,26.8515842,POINT
"1894393825",nodes,,,,,དཔག་བསམ་ཁ།,town,89.4456358,26.841496,POINT
"10943902026",nodes,,,,,Beyri,town,89.5514788,26.9049379,POINT
"1894485867",nodes,,,,,Gedu,town,89.5239139,26.9223235,POINT
"4910761566",nodes,,,,,Tala,village,89.5609545,26.8614813,POINT
"10943902023",nodes,,,,,Dalabuk,village,89.5644496,26.8692995,POINT
"10943902024",nodes,,,,,Khamaedtapthang,village,89.5602163,26.8860035,POINT
